task,setting,model,model_type,MRR,MRR_ci_lo,MRR_ci_hi,MRR_macro,gap,H@1,H@3,H@5,H@10,H@20,n_eval
task1,transductive,TransE,kge,0.06566267072128393,0.06274406374235185,0.06909167491224848,0.11512284128757735,-0.04946017056629343,0.02296148978484903,0.053697342252757185,0.08533719038148617,0.14834568794069788,0.23720846139938528,5531
task1,transductive,DistMult,kge,0.06312077616713486,0.06022368981823411,0.06640087411519073,0.11784950890816995,-0.05472873274103508,0.019164708009401555,0.05686132706563009,0.08759717953353824,0.14400650876875792,0.2203037425420358,5531
task1,transductive,ComplEx,kge,0.035657288608033647,0.033511659924395885,0.037932068571227294,0.04166728427415647,-0.006009995666122821,0.008768757909962031,0.025040679804736937,0.039775809076116435,0.07647803290544206,0.1330681612728259,5531
task1,transductive,RotatE,kge,0.12251170883488605,0.11802004750270804,0.12724916186572524,0.19552388103098142,-0.07301217219609538,0.060025311878502983,0.12203941421081178,0.16732959681793527,0.24570602061110106,0.34731513288736215,5531
task1,transductive,PairRE,kge,0.08226113306975268,0.0788474982058794,0.08579699673599071,0.12080072454947867,-0.03853959147972599,0.031097450732236485,0.07683963116977038,0.11571144458506599,0.1798047369372627,0.2711986982462484,5531
task1,transductive,ConvE,kge,0.06421885926151537,0.061012742684979165,0.06735334926254906,0.10908008631311222,-0.044861227051596855,0.024950280238654855,0.057222925329958416,0.08370999819200868,0.13532815042487797,0.21487976857711083,5531
task1,transductive,TuckER,kge,0.09475669126886288,0.09076900182935906,0.09852841648337056,0.16197759080555713,-0.06722089953669425,0.0399566082082806,0.09654673657566444,0.1365937443500271,0.20330862411860423,0.2850298318568071,5531
task1,transductive,RGCN,gnn,0.10671959082067801,0.10264880896841173,0.1108497184200769,0.17324305345988078,-0.06652346263920277,0.04474778521063099,0.10649068884469355,0.14988248056409328,0.22988609654673658,0.3317664075212439,5531
task1,transductive,CN,structural,0.0517327564499173,0.049090600782731524,0.054694069045645784,0.07058803525139279,-0.018855278801475486,0.016362321460856987,0.046646176098354725,0.06915566805279334,0.11327065630084976,0.17166877598987526,5531
task1,transductive,RA,structural,0.055029918245028134,0.05218867409564956,0.05788113547650997,0.08127129417951215,-0.026241375934484015,0.020430301934550713,0.05179895136503345,0.07494124028204664,0.11824263243536431,0.17862954257819563,5531
task1,transductive,L3,structural,0.10119492900100023,0.09708501589418508,0.10506110707774713,0.18103190402180813,-0.0798369750208079,0.038600614717049356,0.10594829144820105,0.1529560658108841,0.2261797143373712,0.31251129994576027,5531
task1,transductive,Random,trivial,0.008575643775133502,0.0077501607796665985,0.009498305091794022,0.013275972683932304,-0.004700328908798802,0.001446393057313325,0.0036159826432833123,0.006960766588320376,0.013469535346230337,0.02513107937081902,5531
task1,transductive,Popularity,trivial,0.08639222227233728,0.0826048057507977,0.0902178545870621,0.14302024402378166,-0.05662802175144438,0.036883022961489785,0.08181160730428494,0.11905622853010306,0.18748870005423973,0.2645091303561743,5531
task1,transductive_with_bridges,TransE,kge,0.05167488642708222,0.04902571197059556,0.05442539451796485,0.10601278547686209,-0.05433789904977987,0.0168143192912674,0.04736937262701139,0.0683420719580546,0.11019707105405895,0.17221117338636774,5531
task1,transductive_with_bridges,DistMult,kge,0.06024765067933922,0.05700828754777406,0.06329531113898341,0.12136098589248234,-0.061113335213143126,0.02124389802928946,0.05649972880130175,0.08262520339902368,0.13342975953715422,0.20493581630808172,5531
task1,transductive_with_bridges,ComplEx,kge,0.08076615244345037,0.07714414107647491,0.08465200352557646,0.14168582929100368,-0.06091967684755331,0.03444223467727355,0.07711082986801664,0.1098354727897306,0.17013198336647983,0.2527571867655035,5531
task1,transductive_with_bridges,RotatE,kge,0.08147689007270602,0.0777354325905057,0.0852427079139514,0.1449179694092851,-0.0634410793365791,0.0341710359790273,0.07955161815223287,0.11426505152775267,0.17175917555595732,0.2528475863315856,5531
task1,transductive_with_bridges,PairRE,kge,0.06686433143329758,0.06378131279091717,0.06979716337119457,0.10825178542044017,-0.041387453987142594,0.025040679804736937,0.061381305369734226,0.08714518170312782,0.14265051527752667,0.2223829325619237,5531
task1,transductive_with_bridges,ConvE,kge,0.038220153030356176,0.03570253979022274,0.040808657324925834,0.06314191485671382,-0.024921761826357643,0.01645272102693907,0.03706382209365395,0.044566986078466826,0.06825167239197252,0.10929307539323811,5531
task1,transductive_with_bridges,TuckER,kge,0.0764,0.0732,0.0795,0.1712,-0.0948,0.0286,0.0701,0.0996,0.163,0.2541,5531
task1,transductive_with_bridges,RGCN,gnn,0.0652,0.062,0.0683,0.1222,-0.057,0.0244,0.0599,0.085,0.1391,0.2168,5531
task1,transductive_with_bridges,CN,structural,0.04955456223122935,0.0467810988392269,0.05229296442901525,0.072012101487698,-0.02245753925646865,0.017266317121677817,0.04718857349484722,0.0668052793346592,0.10459229795696981,0.15259446754655578,5531
