task,setting,model,ratio,neg_per_pos,n_pos,n_neg,prevalence,auprc,auprc_over_floor,auroc
task1,transductive,cn,orig,0.09112276261073947,5531,504,0.9164871582435791,0.8919428079550175,0.973219100706659,0.40009610334822776
task1,transductive,cn,0.5,0.5,1008,504,0.6666666666666666,0.6108397282080186,0.9162595923120279,0.4041713907785336
task1,transductive,cn,1,1.0,504,504,0.5,0.4500730739816661,0.9001461479633323,0.40973600088183426
task1,transductive,cn,2,2.0,252,504,0.3333333333333333,0.2864611476836312,0.8593834430508935,0.39603804484756866
task1,transductive,cn,5,5.0,100,500,0.16666666666666666,0.1551733276059015,0.931039965635409,0.44277999999999995
task1,transductive,cn,10,10.0,50,500,0.09090909090909091,0.07448133954075194,0.8192947349482713,0.36158
task1,transductive,complex,orig,0.09112276261073947,5531,504,0.9164871582435791,0.8119431180861414,0.8859296180889286,0.15223932639409044
task1,transductive,complex,0.5,0.5,1008,504,0.6666666666666666,0.48697938556284043,0.7304690783442607,0.16454278470647518
task1,transductive,complex,1,1.0,504,504,0.5,0.3317017909516317,0.6634035819032634,0.1566633597883598
task1,transductive,complex,2,2.0,252,504,0.3333333333333333,0.2028995367274907,0.6086986101824722,0.13588907785336357
task1,transductive,complex,5,5.0,100,500,0.16666666666666666,0.09645580424276423,0.5787348254565854,0.14942
task1,transductive,complex,10,10.0,50,500,0.09090909090909091,0.05178946445896793,0.5696841090486473,0.14868
task1,transductive,conve,orig,0.09112276261073947,5531,504,0.9164871582435791,0.8332785447434434,0.9092091877647227,0.18587191098943046
task1,transductive,conve,0.5,0.5,1008,504,0.6666666666666666,0.49802190490484805,0.7470328573572721,0.18529344608213655
task1,transductive,conve,1,1.0,504,504,0.5,0.34045685522563973,0.6809137104512795,0.17789430587049632
task1,transductive,conve,2,2.0,252,504,0.3333333333333333,0.21282584343602495,0.6384775303080749,0.1973025321239607
task1,transductive,conve,5,5.0,100,500,0.16666666666666666,0.10519788438586031,0.6311873063151618,0.22255999999999998
task1,transductive,conve,10,10.0,50,500,0.09090909090909091,0.053076029778821227,0.5838363275670335,0.18092000000000003
task1,transductive,distmult,orig,0.09112276261073947,5531,504,0.9164871582435791,0.9184743635859733,1.002168284983068,0.45940664881633964
task1,transductive,distmult,0.5,0.5,1008,504,0.6666666666666666,0.6929615888441834,1.0394423832662751,0.4811940980095742
task1,transductive,distmult,1,1.0,504,504,0.5,0.5098834619852279,1.0197669239704559,0.45535320609725377
task1,transductive,distmult,2,2.0,252,504,0.3333333333333333,0.3346704796848929,1.0040114390546788,0.459695452254976
task1,transductive,distmult,5,5.0,100,500,0.16666666666666666,0.18378435053408562,1.1027061032045138,0.47142
task1,transductive,distmult,10,10.0,50,500,0.09090909090909091,0.11977483208924694,1.3175231529817164,0.4740400000000001
task1,transductive,l3,orig,0.09112276261073947,5531,504,0.9164871582435791,0.8346816201766809,0.910740115307588,0.1960203384674547
task1,transductive,l3,0.5,0.5,1008,504,0.6666666666666666,0.5098777692064026,0.764816653809604,0.20962262219702693
task1,transductive,l3,1,1.0,504,504,0.5,0.3482641064003868,0.6965282128007736,0.2045756960191484
task1,transductive,l3,2,2.0,252,504,0.3333333333333333,0.21295100201854297,0.638853006055629,0.19423973293020913
task1,transductive,l3,5,5.0,100,500,0.16666666666666666,0.11089637179862333,0.66537823079174,0.25248000000000004
task1,transductive,l3,10,10.0,50,500,0.09090909090909091,0.05224697673653807,0.5747167441019188,0.1633
task1,transductive,pairre,orig,0.09112276261073947,5531,504,0.9164871582435791,0.7814176445961298,0.8526225791245062,0.035530616754626876
task1,transductive,pairre,0.5,0.5,1008,504,0.6666666666666666,0.45600742524616905,0.6840111378692536,0.03957427878558831
task1,transductive,pairre,1,1.0,504,504,0.5,0.3105473726750879,0.6210947453501758,0.04069428697404888
task1,transductive,pairre,2,2.0,252,504,0.3333333333333333,0.1913600255220359,0.5740800765661077,0.035493827160493825
task1,transductive,pairre,5,5.0,100,500,0.16666666666666666,0.08991532482663564,0.5394919489598139,0.037020000000000004
task1,transductive,pairre,10,10.0,50,500,0.09090909090909091,0.04804931272523328,0.5285424399775661,0.02508
task1,transductive,popularity,orig,0.08819420188613343,5726,505,0.9189536190017654,0.8733140165443231,0.9503352492294231,0.30039164761743375
task1,transductive,popularity,0.5,0.5,1010,505,0.6666666666666666,0.5468379404941336,0.8202569107412004,0.29059994118223703
task1,transductive,popularity,1,1.0,505,505,0.5,0.3944749901939348,0.7889499803878696,0.31058523674149596
task1,transductive,popularity,2,2.0,252,504,0.3333333333333333,0.23969126632857962,0.7190737989857389,0.29544989292013096
